Date,Close,High,Low,Open,Volume,Ticker,Source
,JNJ,JNJ,JNJ,JNJ,JNJ,,
2021-02-16,143.21290588378906,144.9307281967269,142.8398357733483,144.52296035520973,5656100,JNJ,Yahoo Finance
2021-02-17,143.72474670410156,144.0978034893551,142.5968787504732,143.12610838511057,6676700,JNJ,Yahoo Finance
2021-02-18,143.794189453125,144.15857520353924,142.54485931550127,143.1174711683048,5189100,JNJ,Yahoo Finance
2021-02-19,141.39962768554688,143.985052001486,141.33890334972565,143.67271948458387,8190900,JNJ,Yahoo Finance
2021-02-22,141.31231689453125,141.89722451437896,139.93297713930176,141.31231689453125,6447100,JNJ,Yahoo Finance
2021-02-23,140.06394958496094,142.46469662745312,140.02902216827164,140.97186260528642,7042800,JNJ,Yahoo Finance
2021-02-24,141.9408721923828,143.51227270207033,140.48296578978244,141.77500028845682,10286100,JNJ,Yahoo Finance
2021-02-25,142.0893096923828,142.90993086783362,141.41711006645593,142.4123283743435,9719700,JNJ,Yahoo Finance
2021-02-26,138.3354034423828,141.78374623097014,137.90762921094387,141.425813505944,14417500,JNJ,Yahoo Finance
2021-03-01,139.08621215820312,141.0155325590194,138.88541278980964,140.9456910379575,10551400,JNJ,Yahoo Finance
2021-03-02,138.8242645263672,140.36073752609946,138.45760665100735,139.48773877879398,7610900,JNJ,Yahoo Finance
2021-03-03,136.3798828125,138.71951336047985,136.240199798049,138.15206943051763,8499600,JNJ,Yahoo Finance
2021-03-04,133.6299285888672,136.2751138056169,132.233125223583,136.17908340774233,11033200,JNJ,Yahoo Finance
2021-03-05,136.2751007080078,136.79016673760222,133.68229353549668,134.42433442875063,8331600,JNJ,Yahoo Finance
2021-03-08,137.41000366210938,139.09489824686787,136.17034698382966,137.06080947588288,6546700,JNJ,Yahoo Finance
2021-03-09,137.67193603515625,140.33458557969902,136.96480899499562,136.96480899499562,7461300,JNJ,Yahoo Finance
2021-03-10,138.93772888183594,139.59247786491886,137.37506717007497,138.64965105167335,6635600,JNJ,Yahoo Finance
2021-03-11,138.9290313720703,140.22980440649457,138.73697056642635,139.27822557092946,6305600,JNJ,Yahoo Finance
2021-03-12,139.3306121826172,139.9504338636784,138.97267948177654,139.05124617584272,5474800,JNJ,Yahoo Finance
2021-03-15,140.04649353027344,140.25601807914066,138.37033710205705,139.46158581737296,5524100,JNJ,Yahoo Finance
2021-03-16,140.8758544921875,141.14648207029254,139.88937460950544,140.08143546898165,6369100,JNJ,Yahoo Finance
2021-03-17,140.35203552246094,141.19010699863037,139.26951210142735,140.4044133246083,6001400,JNJ,Yahoo Finance
2021-03-18,140.09014892578125,140.98061162502094,139.6449242366151,139.86317398401354,4801800,JNJ,Yahoo Finance
2021-03-19,139.71475219726562,140.98933658111773,139.21714970091,140.28220953208702,14891500,JNJ,Yahoo Finance
2021-03-22,140.1163330078125,140.24727752338225,137.93383560893693,138.20446315505237,7544100,JNJ,Yahoo Finance
2021-03-23,139.9853973388672,140.7274385088353,138.70208772155476,139.86317800964258,7178300,JNJ,Yahoo Finance
2021-03-24,141.3472137451172,141.84481604567327,139.5226497749079,139.7670883297253,6370100,JNJ,Yahoo Finance
2021-03-25,141.39964294433594,141.81867871625244,140.23855272633818,141.80995352215874,6269800,JNJ,Yahoo Finance
2021-03-26,143.98370361328125,144.132125150153,140.88456814421968,141.50438990966953,7619200,JNJ,Yahoo Finance
2021-03-29,144.95272827148438,145.81700195879168,142.84881109315782,143.02340820509409,8535100,JNJ,Yahoo Finance
2021-03-30,144.0535430908203,144.62100036598997,143.37260501734153,144.06228160516363,7236300,JNJ,Yahoo Finance
