Date,Close,High,Low,Open,Volume,Ticker,Source
,RTX,RTX,RTX,RTX,RTX,,
2021-02-16,64.74028778076172,65.31092191265904,64.23206654446268,64.94535580808662,6110200,RTX,Yahoo Finance
2021-02-17,65.14149475097656,65.27523857710854,64.26771445156898,64.45495308715631,5186900,RTX,Yahoo Finance
2021-02-18,64.98100280761719,65.13258277023463,64.21421213552799,64.61544360952452,4903800,RTX,Yahoo Finance
2021-02-19,66.2114486694336,66.25602541662302,65.17717017871648,65.42682173096003,6275900,RTX,Yahoo Finance
2021-02-22,65.0880126953125,66.21145153146442,64.39255282614533,64.41930023611408,10506900,RTX,Yahoo Finance
2021-02-23,65.97068786621094,65.98852400153481,64.66892888976065,65.4535555841911,11686700,RTX,Yahoo Finance
2021-02-24,69.25184631347656,69.69765452736915,65.55163677766936,66.14902495418049,11159300,RTX,Yahoo Finance
2021-02-25,65.77559661865234,69.18459101202949,65.44366601979432,68.77192442240649,9483300,RTX,Yahoo Finance
2021-02-26,64.58243560791016,66.32281741745543,64.58243560791016,66.32281741745543,8000700,RTX,Yahoo Finance
2021-03-01,66.70856475830078,67.58772166950038,65.5782133138358,65.94602874713955,10910500,RTX,Yahoo Finance
2021-03-02,66.98666381835938,67.65949091218224,66.5650244111342,66.66370626577631,5792300,RTX,Yahoo Finance
2021-03-03,67.34550476074219,68.5296801449615,66.96872323947944,67.1032900240307,5960700,RTX,Yahoo Finance
2021-03-04,66.76238250732422,68.5924728699784,65.25524967010023,67.30064276825767,8284200,RTX,Yahoo Finance
2021-03-05,67.4441909790039,67.79406053487479,65.57821545145829,67.48904885820845,6661900,RTX,Yahoo Finance
2021-03-08,67.82992553710938,69.38190914286571,67.76712863128715,68.27847681993943,7232100,RTX,Yahoo Finance
2021-03-09,67.13019561767578,68.80777325965305,67.05842576017132,68.21568904611705,6558300,RTX,Yahoo Finance
2021-03-10,68.68219757080078,69.21149185424981,67.2737462559547,67.6415617395458,6776600,RTX,Yahoo Finance
