Date,Close,High,Low,Open,Volume,Ticker,Source
,VZ,VZ,VZ,VZ,VZ,,
2021-02-16,39.869667053222656,39.9948336313301,39.63405706374413,39.84021510236469,22095700,VZ,Yahoo Finance
2021-02-17,41.96070098876953,42.15213302081243,40.95935729207215,41.231780771449706,40531300,VZ,Yahoo Finance
2021-02-18,41.95334243774414,42.417200822425094,41.622015020114894,41.92389048757875,20759900,VZ,Yahoo Finance
2021-02-19,41.5631217956543,42.2625902966705,41.48949190630396,42.211050778471815,18689400,VZ,Yahoo Finance
2021-02-22,41.5631217956543,41.850271342387884,41.34223774498947,41.62202289844148,17854900,VZ,Yahoo Finance
2021-02-23,41.99015808105469,42.358299050542996,41.4453110190799,41.82817796439087,21062000,VZ,Yahoo Finance
2021-02-24,42.05643081665039,42.27731487467585,41.7251033252656,42.02698166862199,17136900,VZ,Yahoo Finance
2021-02-25,41.59992980957031,41.86499175863274,41.04035676831062,41.32014188459411,24165300,VZ,Yahoo Finance
2021-02-26,40.71638870239258,41.680919007120664,40.709027119182196,41.57783999002,23935200,VZ,Yahoo Finance
2021-03-01,40.76057434082031,41.194980858441575,40.701670429220705,40.85629179282312,20550400,VZ,Yahoo Finance
2021-03-02,40.480777740478516,40.87837063285976,40.43659981620532,40.723752110942335,17184600,VZ,Yahoo Finance
2021-03-03,40.77529525756836,41.209701721269795,40.05373928219343,40.17154428207724,22838700,VZ,Yahoo Finance
2021-03-04,40.34824752807617,40.95199846092909,40.14945107818179,40.90045895266305,23692000,VZ,Yahoo Finance
2021-03-05,41.23179244995117,41.379049413296734,40.43660653310092,40.45869690325318,23598100,VZ,Yahoo Finance
2021-03-08,41.813453674316406,42.188956242508425,41.099259265934016,41.194976708293865,23648800,VZ,Yahoo Finance
2021-03-09,41.37904739379883,42.04169948347378,41.356957024724686,41.8944453360079,20956400,VZ,Yahoo Finance
2021-03-10,42.0269775390625,42.18159608361823,41.12134821536659,41.73982520228241,18848600,VZ,Yahoo Finance
2021-03-11,40.871009826660156,42.107963727899886,40.84156068325368,41.97543275214615,30312900,VZ,Yahoo Finance
2021-03-12,40.95936965942383,41.35695981659162,40.94464368194457,41.03299673812708,22002400,VZ,Yahoo Finance
2021-03-15,40.966732025146484,41.18761607416202,40.56913905170266,41.0919014317609,18970600,VZ,Yahoo Finance
2021-03-16,40.966732025146484,41.172890096401915,40.81947505623843,41.010909958426815,19044700,VZ,Yahoo Finance
2021-03-17,41.04772186279297,41.320145418766714,40.70903281388583,41.062447839966275,17867000,VZ,Yahoo Finance
2021-03-18,41.46004104614258,41.50421616923439,40.981456615566145,41.047722108896835,19970700,VZ,Yahoo Finance
2021-03-19,41.40850067138672,41.61465873138801,41.194978218560856,41.54839323943146,39055000,VZ,Yahoo Finance
2021-03-22,41.66619873046875,41.725099830285046,41.062447711713766,41.136074788657375,20656600,VZ,Yahoo Finance
2021-03-23,41.90180206298828,42.27730458940961,41.511573561788715,41.54102270265269,20084100,VZ,Yahoo Finance
2021-03-24,41.975440979003906,42.284680919268816,41.69565580530386,41.77664728510403,14819800,VZ,Yahoo Finance
