rule_id,rule_text,category,source,scrape_date
2111,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:24.974308
2090,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:26.999767
4512,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:29.893882
3240,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:33.229545
2010,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:35.612067
2210,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:38.090921
4513,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:40.369596
2150,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:43.251618
2121,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:45.573743
2262,"For the Public FINRA DATA FINRA Data provides non-commercial use of data, specifically the ability to save data views and create and manage a Bond Watchlist. Login For Industry Professionals FINPRO GATEWAY Registered representatives can fulfill Continuing Education requirements, view their industry CRD record and perform other compliance tasks. Login For Member Firms FINRA GATEWAY Firm compliance professionals can access filings and requests, run reports and submit support tickets. Login For Case Participants DR PORTAL Arbitration and mediation case participants and FINRA neutrals can view case information and submit documents through this Dispute Resolution Portal. Login Need Help? | Check System Status Log In to other FINRA systems",Unknown,FINRA.org,2026-02-15T19:19:48.171798
