ticker,company_name,sector,industry,market_cap,pe_ratio,forward_pe,peg_ratio,price_to_book,debt_to_equity,profit_margin,operating_margin,return_on_equity,dividend_yield,beta,fifty_two_week_high,fifty_two_week_low,average_volume,source
AAPL,Apple Inc.,Technology,Consumer Electronics,3759435415552,32.377216,27.538435,0,42.644215,102.63,0.27037,0.35374,1.5202099,0.41,1.107,288.62,169.21,48641162,Yahoo Finance
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2982761988096,25.129618,21.29065,0,7.6274824,31.539,0.39044,0.47094002,0.34390998,0.91,1.084,555.45,344.79,31049450,Yahoo Finance
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3698295046144,28.255085,22.893396,0,8.899368,16.133,0.32810003,0.31568,0.35705003,0.27,1.086,349.0,140.53,38546480,Yahoo Finance
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2133994766336,27.686628,21.401733,0,5.189526,43.435,0.108339995,0.10533,0.22286,0.0,1.385,258.6,161.38,47207519,Yahoo Finance
NVDA,NVIDIA Corporation,Technology,Semiconductors,4450875342848,45.25,23.631657,0,37.36917,9.102,0.53007,0.63168997,1.07359,0.02,2.314,212.19,86.62,179879386,Yahoo Finance
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1618333794304,27.247446,17.935595,0,7.4507093,39.164,0.30084,0.41314998,0.30238,0.33,1.284,796.25,479.8,16893818,Yahoo Finance
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1566415126528,382.97247,148.85605,0,19.063799,17.763,0.040009998,0.047030002,0.049250003,0.0,1.887,498.83,214.25,69896201,Yahoo Finance
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1073381900288,15.896166,20.653515,0,0.0010252963,18.166,0.18129,0.41103,0.1017,0.0,0.702,542.07,455.19,4869573,Yahoo Finance
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,932315070464,45.256744,24.902653,0,35.06997,165.31,0.31667,0.44896,1.01159,0.6,0.394,1133.95,623.78,3335054,Yahoo Finance
V,Visa Inc.,Financial Services,Credit Services,605558669312,29.49108,21.614746,0,15.677347,54.612,0.50233,0.68296,0.53954,0.85,0.78,375.51,299.0,7511427,Yahoo Finance
